sub-id,age (years),gender
100206,27,M
101006,35,F
101309,29,M
101915,35,F
102311,26,F
102513,30,M
103414,25,F
105115,31,M
106016,33,F
107321,25,F
107422,22,M
108222,35,M
109830,33,F
110411,31,M
110613,29,M
112112,27,M
112314,30,F
112920,31,M
113619,34,F
113922,32,M
118124,34,F
118528,29,F
119126,25,F
121416,26,M
122822,35,F
124422,31,F
124826,32,F
128632,32,F
129028,30,M
129129,33,F
129634,22,M
130013,26,M
131217,29,F
131823,27,M
132017,23,F
133019,26,F
134021,32,F
134223,29,F
134425,27,F
135528,26,F
135730,23,M
135932,30,F
137633,23,F
138231,33,F
139637,35,F
139839,26,M
140117,27,F
146129,24,M
146432,34,M
146533,28,M
146937,32,F
148133,26,F
149236,23,F
149337,33,M
149539,24,M
149842,32,F
150625,28,M
150928,25,M
151627,30,F
152831,29,M
153227,31,F
154229,23,F
154734,34,M
154835,35,F
154936,27,M
155938,27,M
158035,30,F
159239,32,F
161731,35,F
162733,26,F
164030,32,M
167238,33,F
169949,29,M
173435,29,F
173536,35,F
173738,32,M
173839,22,F
173940,27,F
174437,32,F
175237,31,F
175338,22,F
175742,35,F
176037,30,F
178950,34,M
179346,27,F
181232,26,F
183034,33,M
185139,31,F
185442,22,M
186141,31,M
186444,25,F
187345,31,F
188448,25,F
188549,23,M
191033,28,F
192035,30,F
192136,22,M
192843,28,M
194645,27,M
194746,35,M
195445,26,F
195849,25,M
195950,30,M
198855,26,M
199453,23,M
199958,31,M
200311,34,M
201111,29,M
202719,23,M
203418,29,M
203923,29,F
204319,27,F
204521,31,F
204622,30,F
205119,31,M
206222,30,M
208125,26,F
208327,30,M
209228,29,F
211215,29,M
211316,31,F
211922,26,F
212015,25,M
212419,29,F
214019,31,F
214221,25,F
214524,24,M
220721,28,M
228434,24,F
248339,26,M
250932,32,F
255639,27,F
257542,30,F
257845,26,M
268850,24,F
285446,32,M
297655,31,F
299154,24,M
300618,22,M
303119,30,F
309636,29,F
310621,33,F
316633,27,F
316835,28,F
318637,27,M
336841,27,M
361941,27,M
371843,31,F
377451,26,F
380036,28,M
381038,30,F
386250,24,M
387959,26,M
393550,27,M
395251,28,F
395756,35,F
397154,29,F
412528,33,F
414229,33,M
432332,33,F
436845,26,F
449753,25,M
459453,29,F
479762,24,M
499566,28,F
510326,29,F
517239,23,M
520228,22,M
524135,23,M
525541,30,F
529549,26,F
529953,26,M
530635,30,M
553344,33,F
555651,34,F
561444,23,M
567052,33,M
567961,22,F
568963,31,F
571144,25,M
573249,30,M
580044,30,F
580751,24,M
587664,26,F
597869,32,M
598568,26,M
599065,24,U
599671,27,M
604537,23,M
611938,22,M
616645,25,M
618952,22,M
622236,23,M
638049,32,F
645450,30,F
654350,30,F
654754,34,F
656253,28,M
656657,25,M
657659,23,F
660951,30,F
663755,25,F
664757,26,M
667056,22,M
679568,29,F
679770,26,M
690152,30,M
715950,29,F
724446,24,M
725751,29,M
729557,24,F
731140,31,F
744553,31,F
748258,25,F
749058,24,M
753150,23,M
756055,25,M
770352,29,F
782561,32,F
789373,28,M
800941,30,M
803240,22,M
812746,22,M
816653,23,F
820745,32,M
825048,34,F
833148,27,M
835657,32,F
837560,30,M
849264,32,F
849971,25,M
865363,24,M
872562,31,F
877269,23,F
894067,34,M
894774,27,M
899885,26,F
901442,29,F
912447,27,M
930449,22,F
952863,23,F
957974,28,F
987983,27,F
993675,29,F
994273,30,M
